"","기준날짜","상품명","판매업소","판매가격","제조사"
"1",2020-05-13,"블랙500ML","GS리테일","2,500","CAFE25"
"2",2020-05-13,"헤이즐넛500ML","GS리테일","2,500","CAFE25"
"3",2020-05-13,"홍삼원D100ML","GS리테일","1,000","정관장"
"4",2020-05-13,"레디큐120ML","GS리테일","5,000","한독"
"5",2020-05-13,"미에로화이바210ML","GS리테일","1,400","현대"
"6",2020-05-13,"녹차향캔디2000","GS리테일","2,000","칭주이"
"7",2020-05-13,"복숭아향캔디2000","GS리테일","2,000","칭주이"
"8",2020-05-13,"알로에향캔디2000","GS리테일","2,000","칭주이"
"9",2020-05-13,"포멜로맛캔디2000","GS리테일","2,000","칭주이"
"10",2020-05-13,"카카오망고스무디190ML","GS리테일","2,000","유어스"
"11",2020-05-13,"카카오애플스무디190ML","GS리테일","2,000","유어스"
"12",2020-05-13,"복숭아스무디190ML","GS리테일","2,000","카카오프렌즈"
"13",2020-05-13,"칠성사이다PET300ML","GS리테일","1,600","롯데"
"14",2020-05-13,"펩시콜라PET300ML","GS리테일","1,600","롯데"
"15",2020-05-13,NA,"GS리테일","4,600",NA
"16",2020-05-13,NA,"GS리테일","3,500",NA
"17",2020-05-13,NA,"GS리테일","3,800",NA
"18",2020-05-13,NA,"GS리테일","2,500",NA
"19",2020-05-13,"달콤찐강낭콩80G","GS리테일","2,500","한입"
"20",2020-05-13,"자색찐고구마80G","GS리테일","2,500","한입"
"21",2020-05-13,NA,"GS리테일","2,500","40G"
"22",2020-05-13,NA,"GS리테일","1,000",NA
"23",2020-05-13,NA,"GS리테일","1,000",NA
"24",2020-05-13,NA,"GS리테일","1,000",NA
"25",2020-05-13,NA,"GS리테일","1,000",NA
"26",2020-05-13,NA,"GS리테일","1,000",NA
"27",2020-05-13,"건파인애플","GS리테일","3,500","돌"
"28",2020-05-13,"건망고","GS리테일","4,500","돌"
"29",2020-05-13,"망고컵198G","GS리테일","2,400","돌"
"30",2020-05-13,"복숭아컵198G","GS리테일","2,400","돌"
"31",2020-05-13,"파인애플컵198G","GS리테일","2,400","돌"
"32",2020-05-13,"퀘이커오트밀","GS리테일","2,000","롯데"
"33",2020-05-13,"피치망고그린2입","GS리테일","1,800","크리스탈라이트"
"34",2020-05-13,"핑크레몬2입","GS리테일","1,800","크리스탈라이트"
"35",2020-05-13,"앵그리짜파구리큰사발","GS리테일","1,600","농심"
"36",2020-05-13,"소프트맥스대형14P","GS리테일","7,400","메이앤준"
"37",2020-05-13,"소프트맥스중형16P","GS리테일","7,400","메이앤준"
"38",2020-05-13,"오곡초코볼420G","GS리테일","5,900","씨알"
"39",2020-05-13,"크루통시리얼400G","GS리테일","5,900","씨알"
"40",2020-05-13,"궁중발효홍삼100ML","GS리테일","2,200","팜트리"
"41",2020-05-13,"광명찾은결명자차500ML","GS리테일","1,500","웅진"
"42",2020-05-13,"누룽지차500ML","GS리테일","1,500","웅진"
"43",2020-05-13,"하늘보리PET500ML","GS리테일","1,500","웅진"
"44",2020-05-13,"갈배사이다PET500ML","GS리테일","2,000","해태"
"45",2020-05-13,"크래프트블랙470ML","GS리테일","2,500","조지아"
"46",2020-05-13,"크래프트카페라떼470ML","GS리테일","2,500","조지아"
"47",2020-05-13,"그린티250ML","GS리테일","5,000","리스테린"
"48",2020-05-13,"덴탈쿨링마우스스프레이","GS리테일","3,500","페리오"
"49",2020-05-13,"립앤아이리무버100ML","GS리테일","8,000","일리윤"
"50",2020-05-13,"딥클린휩클렌징폼100ML","GS리테일","6,900","포인트"
"51",2020-05-13,"립앤아이리무버140ML","GS리테일","10,900","포인트"
"52",2020-05-13,NA,"GS리테일","5,500",NA
"53",2020-05-13,"어드밴스그랜드치약220G","GS리테일","4,500","유어스"
"54",2020-05-13,"신당동미니","GS리테일","1,000","해태"
"55",2020-05-13,"마이쮸바포도75ML","GS리테일","1,200","유어스"
"56",2020-05-13,"후렌치파이","GS리테일","3,800","해태"
"57",2020-05-13,"후렌치파이딸기3800","GS리테일","3,800","해태"
"58",2020-05-13,"사브레1700","GS리테일","1,700","해태"
"59",2020-05-13,"에이스1500","GS리테일","1,500","해태"
"60",2020-05-13,"초코픽1500","GS리테일","1,500","해태"
"61",2020-05-13,"맛동산","GS리테일","2,000","해태"
"62",2020-05-13,"맛동산2000","GS리테일","2,000","해태"
"63",2020-05-13,"무지방우유홈런볼1500","GS리테일","1,500","해태"
"64",2020-05-13,"초코홈런볼1500","GS리테일","1,500","해태"
"65",2020-05-13,"홈런볼","GS리테일","1,500","해태"
"66",2020-05-13,"믹스너트55G","GS리테일","2,000","머거본"
"67",2020-05-13,"페퍼민트물티슈60매","GS리테일","4,300","유어스"
"68",2020-05-13,"꿀땅콩70G","GS리테일","1,500","머거본"
"69",2020-05-13,"맛땅콩55G","GS리테일","1,500","머거본"
"70",2020-05-13,"커피땅콩60G","GS리테일","1,300","머거본"
"71",2020-05-13,"민트초코맛아몬드25G","GS리테일","1,400","머거본"
"72",2020-05-13,"허니버터아몬드30G","GS리테일","1,400","머거본"
"73",2020-05-13,"블랙트러플오일육포40G","GS리테일","4,500","코주부"
"74",2020-05-13,"민트초코아몬드25G","GS리테일","1,300","길림"
"75",2020-05-13,"쿠키앤크림아몬드25G","GS리테일","1,300","길림"
"76",2020-05-13,"토피넛라떼아몬드25G","GS리테일","1,300","길림"
"77",2020-05-13,"정품오징어30G","GS리테일","5,300","정화"
"78",2020-05-13,"허니버터오징어30G","GS리테일","3,000","정화"
"79",2020-05-13,"석쇠구이오징어볶음땅콩60G","GS리테일","6,500","정화"
"80",2020-05-13,"롱피쉬스낵60G","GS리테일","3,500","정화"
"81",2020-05-13,"자유시간골드1000","GS리테일","1,000","해태"
"82",2020-05-13,"자유시간아몬드1000","GS리테일","1,000","해태"
"83",2020-05-13,"자유시간크리스피1000","GS리테일","1,000","해태"
"84",2020-05-13,"버터구이왕다리3200","GS리테일","3,200","정화"
"85",2020-05-13,"상상바삭디핑칩고소한맛","GS리테일","3,000","동원"
"86",2020-05-13,"상상바삭디핑칩매콤한맛","GS리테일","3,000","동원"
"87",2020-05-13,"트리플푸쉬팝3000","GS리테일","3,000","바주카"
