"","기준날짜","상품명","판매업소","판매가격","제조사"
"1",2020-05-12,"닥터캡슐밀크씨슬130ML","GS리테일","2,500","빙그레"
"2",2020-05-12,"데미소다레몬캔250ML","GS리테일","1,200","동아"
"3",2020-05-12,"데미소다애플캔250ML","GS리테일","1,200","동아"
"4",2020-05-12,"데미소다청포도캔250ML","GS리테일","1,200","동아"
"5",2020-05-12,"포레스트500ML","GS리테일","1,700","유어스"
"6",2020-05-12,"르블렌자몽히비스커스500ML","GS리테일","2,500","HK"
"7",2020-05-12,"르블렌피치캐모마일500ML","GS리테일","2,500","HK"
"8",2020-05-12,"오란씨파인비타민C350ML","GS리테일","1,400","동아"
"9",2020-05-12,"메가볼츠600ML","GS리테일","2,000","파워에이드"
"10",2020-05-12,"마운틴듀PET300ML","GS리테일","1,600","롯데"
"11",2020-05-12,"칼라도우4팩","GS리테일","5,900","플레이도"
"12",2020-05-12,"차량용로즈향","GS리테일","9,700","페브리즈"
"13",2020-05-12,"차량용민트향","GS리테일","9,700","페브리즈"
"14",2020-05-12,NA,"GS리테일","5,000","냉동"
"15",2020-05-12,"150G냉동","GS리테일","5,800","언양식"
"16",2020-05-12,NA,"GS리테일","9,900",NA
"17",2020-05-12,"자린고비","GS리테일","9,900","한마리"
"18",2020-05-12,"할매쭈꾸미150G","GS리테일","5,900","용두동"
"19",2020-05-12,NA,"GS리테일","4,900",NA
"20",2020-05-12,"간편고등어구이70G","GS리테일","4,000","오뚜기"
"21",2020-05-12,"마라떡볶이187G","GS리테일","3,200","삼양"
"22",2020-05-12,"마스터소스","GS리테일","3,000","활황"
"23",2020-05-12,"마스터소스","GS리테일","3,000","활황"
"24",2020-05-12,"아이스브레이커듀오딸기","GS리테일","3,500","허쉬"
"25",2020-05-12,"아이스브레이커듀오포도","GS리테일","3,500","허쉬"
"26",2020-05-12,"아이스브레이커베리3500","GS리테일","3,500","허쉬"
"27",2020-05-12,"아이스브레이커수박3500","GS리테일","3,500","허쉬"
"28",2020-05-12,"아이스브레이커쿨민트3500","GS리테일","3,500","허쉬"
"29",2020-05-12,"올인원클렌징티슈20P","GS리테일","2,700","포인트"
"30",2020-05-12,"에코칫솔","GS리테일","3,900","스몰란드"
"31",2020-05-12,"손소독제펌프60ML","GS리테일","3,900","랩신"
"32",2020-05-12,"핸드워시센서티브250ML","GS리테일","7,900","랩신"
"33",2020-05-12,"2080하이브리드칫솔","GS리테일","3,500","P"
"34",2020-05-12,NA,"GS리테일","2,800",NA
"35",2020-05-12,NA,"GS리테일","3,500",NA
"36",2020-05-12,"제로대형14P","GS리테일","8,000","순수한면"
"37",2020-05-12,"제로중형16P","GS리테일","8,000","순수한면"
"38",2020-05-12,"슈퍼콘딸기150ML","GS리테일","1,800","빙그레"
"39",2020-05-12,"슈퍼콘바닐라","GS리테일","1,800","빙그레"
"40",2020-05-12,"슈퍼콘초코150ML","GS리테일","1,800","빙그레"
"41",2020-05-12,"두피케어샴푸200ML","GS리테일","5,900","헤드앤숄더"
"42",2020-05-12,"쿨멘솔샴푸200ML","GS리테일","5,900","헤드앤숄더"
"43",2020-05-12,"더밀크더마랩미스트","GS리테일","8,900","연세"
"44",2020-05-12,"더밀크더마랩밀키톤업크림","GS리테일","8,900","연세"
"45",2020-05-12,"크로스액션칫솔","GS리테일","3,900","오랄비"
"46",2020-05-12,"모이스춰바디워시300ML","GS리테일","11,900","비욘드"
"47",2020-05-12,"스타일러섬유탈취_맨","GS리테일","3,500","샤프란"
"48",2020-05-12,"스타일러섬유탈취_은은향","GS리테일","3,500","샤프란"
"49",2020-05-12,"AURA섬유유연제1L윌유메리미","GS리테일","8,900","LG"
"50",2020-05-12,"핑크센세이션1L","GS리테일","3,500","샤프란"
"51",2020-05-12,"스윗만다린1L","GS리테일","9,900","아우라"
"52",2020-05-12,"화이트플로럴1L","GS리테일","9,900","아우라"
"53",2020-05-12,NA,"GS리테일","10,900","리필"
"54",2020-05-12,"베이킹소다액체세제1","GS리테일","10,900","테크"
"55",2020-05-12,NA,"GS리테일","4,800",NA
"56",2020-05-12,NA,"GS리테일","10,900",NA
"57",2020-05-12,"리치퍼퓸","GS리테일","9,900","피죤"
"58",2020-05-12,"포레스트치약100G","GS리테일","3,900","스몰란드"
"59",2020-05-12,"피오니부케1L","GS리테일","10,900","르샤트라"
"60",2020-05-12,"진한겔액체세제1L","GS리테일","8,900","리큐"
"61",2020-05-12,"보타니스1L","GS리테일","10,900","다우니"
"62",2020-05-12,"실내건조1L","GS리테일","10,900","다우니"
"63",2020-05-12,"퍼퓸블랙1L","GS리테일","10,900","다우니"
"64",2020-05-12,"포맨370ML","GS리테일","8,900","페브리즈"
"65",2020-05-12,"순한면슈퍼롱3P","GS리테일","3,500","쏘피"
"66",2020-05-12,"볼록맞춤중형16P","GS리테일","6,200","쏘피"
"67",2020-05-12,"볼록맞춤중형4P","GS리테일","1,550","쏘피"
"68",2020-05-12,"크랜베리바디워시500","GS리테일","9,900","오가니스트"
"69",2020-05-12,"퍼퓸러브미샴푸400ML","GS리테일","9,900","엘라스틴"
"70",2020-05-12,"안심숙면팬티2P","GS리테일","5,000","쏘피"
"71",2020-05-12,"순한면중형4P","GS리테일","2,000","쏘피"
"72",2020-05-12,"내몸에순한면대형4P","GS리테일","2,500","쏘피"
"73",2020-05-12,"유기농슈퍼롱10P","GS리테일","9,400","쏘피"
"74",2020-05-12,"유기농중형4P","GS리테일","2,300","쏘피"
"75",2020-05-12,"자유시간","GS리테일","1,500","해태"
"76",2020-05-12,"글라시어민트1500","GS리테일","1,500","리콜라"
"77",2020-05-12,"레몬민트1500","GS리테일","1,500","리콜라"
"78",2020-05-12,"크로키초콜릿","GS리테일","1,800","자이니"
"79",2020-05-12,"크로키초콜릿","GS리테일","1,800","자이니"
"80",2020-05-12,"커피쇼콜라1500","GS리테일","1,500","초코사이버"
"81",2020-05-12,"볼라볼라껌500","GS리테일","500","초코사이버"
"82",2020-05-12,"21곡초코바","GS리테일","500","짱구"
"83",2020-05-12,"흑모비책염색약","GS리테일","11,900","리엔"
"84",2020-05-12,"이지클리닉미세모칫솔","GS리테일","2,000","페리오"
"85",2020-05-12,"46CM치약쿨민트100G","GS리테일","3,500","페리오"
"86",2020-05-12,"페리오토탈7오리지널120G","GS리테일","3,500","LG"
"87",2020-05-12,"순수한면대형14P","GS리테일","8,600","건강한"
"88",2020-05-12,"순수한면소형18P","GS리테일","8,600","건강한"
"89",2020-05-12,"순수한면중형16P","GS리테일","8,600","건강한"
"90",2020-05-12,NA,"GS리테일","5,900",NA
"91",2020-05-12,NA,"GS리테일","5,900",NA
"92",2020-05-12,"순면라이너18P","GS리테일","3,800","좋은느낌"
"93",2020-05-12,"에코프레시수퍼롱오버8P","GS리테일","7,800","화이트"
"94",2020-05-12,"수퍼롱4P","GS리테일","3,600","좋은느낌"
"95",2020-05-12,"와퍼스틱바닐라1200","GS리테일","1,200","에스더버니"
"96",2020-05-12,"와퍼스틱초콜릿1200","GS리테일","1,200","에스더버니"
"97",2020-05-12,"시크릿뉴울날대16","GS리테일","8,200","화이트"
"98",2020-05-12,"카라다라이스볼1500","GS리테일","1,500","아띠"
"99",2020-05-12,"좋은순면울날대16P","GS리테일","8,900","좋은느낌"
"100",2020-05-12,"좋은순면울날중18P","GS리테일","8,900","좋은느낌"
"101",2020-05-12,"에코프레시맥시슬날중16P","GS리테일","8,900","화이트"
"102",2020-05-12,"초코웨하스1200","GS리테일","1,200","네스퀵"
"103",2020-05-12,"초코컵3500","GS리테일","3,500","롯데"
"104",2020-05-12,NA,"GS리테일","8,000",NA
"105",2020-05-12,"데미지샴푸530ML","GS리테일","11,000","미쟝센"
"106",2020-05-12,"네이쳐프리미엄3겹","GS리테일","18,900","유어스"
"107",2020-05-12,NA,"GS리테일","21,900","35M"
"108",2020-05-12,"프리미엄물티슈70매캡","GS리테일","6,900","P"
"109",2020-05-12,"베이직물티슈80매","GS리테일","5,000","유어스"
"110",2020-05-12,"베이직물티슈20매","GS리테일","2,000","유어스"
"111",2020-05-12,NA,"GS리테일","5,000",NA
"112",2020-05-12,"UFO과자1700","GS리테일","1,700","여리수"
"113",2020-05-12,"치석치약120G","GS리테일","4,500","메디안"
"114",2020-05-12,"호올스XS레몬민트","GS리테일","1,500","몬델리즈"
"115",2020-05-12,"호올스XS멘토립투스","GS리테일","1,500","몬델리즈"
"116",2020-05-12,"호올스XS석류아사이","GS리테일","1,500","몬델리즈"
"117",2020-05-12,"단호박죽285G","GS리테일","3,900","양반"
"118",2020-05-12,"영양닭죽285G","GS리테일","3,900","양반"
"119",2020-05-12,"군산오징어매콤왕교자140G","GS리테일","3,800","Y"
"120",2020-05-12,"도넛마블","GS리테일","3,900","키친서울"
"121",2020-05-12,"도넛마블","GS리테일","3,900","키친서울"
"122",2020-05-12,"밀크츄딸기맛1500","GS리테일","1,500","HAO"
"123",2020-05-12,"밀크츄옥수수맛1500","GS리테일","1,500","HAO"
"124",2020-05-12,"3겹27M","GS리테일","10,500","잘풀리는집"
"125",2020-05-12,"더밀크더마랩클렌징폼","GS리테일","7,900","연세"
"126",2020-05-12,"잘풀리는집3겹","GS리테일","15,900","유어스"
"127",2020-05-12,"더밀크더마랩올인원포맨","GS리테일","9,900","연세"
"128",2020-05-12,"본초콜릿밀크크림7500","GS리테일","7,500","하늘"
"129",2020-05-12,"본초콜릿헤이즐넛7500","GS리테일","7,500","하늘"
"130",2020-05-12,"브라우니","GS리테일","11,300","까떼도르"
"131",2020-05-12,"씨솔티드카라멜430M","GS리테일","11,300","까떼도르"
"132",2020-05-12,"애플크럼블430ML","GS리테일","11,300","까떼도르"
"133",2020-05-12,"레몬타르트컵130ML","GS리테일","4,500","까떼도르"
"134",2020-05-12,"초콜릿파르페컵130ML","GS리테일","4,500","까떼도르"
"135",2020-05-12,"초코무쵸500","GS리테일","500","이멕스"
"136",2020-05-12,"한라봉스파클링355ML","GS리테일","1,200","천지"
"137",2020-05-12,"실카아몬드초콜릿1000","GS리테일","1,000","미성"
"138",2020-05-12,"실카크리스피초콜릿1000","GS리테일","1,000","미성"
"139",2020-05-12,"헬로키티3000","GS리테일","3,000","츄파춥스"
"140",2020-05-12,"츄파춥스카카오3000","GS리테일","3,000","퍼페티"
"141",2020-05-12,"하트젤리복숭아향2000","GS리테일","2,000","츄파"
"142",2020-05-12,"하트젤리포도크림향2000","GS리테일","2,000","츄파"
"143",2020-05-12,"후르트스낵젤리1600","GS리테일","1,600","웰치스"
